,Clear Sky,DHI,DNI,Output power,day,month,year,hour
128,0.0,4.805544077136977,0.0,37.32239865467723,3.0,6.0,2019.0,4.0
129,0.0,4.8330732559401,0.0,37.53620482718,3.0,6.0,2019.0,5.0
130,0.0,4.2954035686440575,0.0,33.360377472006924,3.0,6.0,2019.0,6.0
131,0.0,4.382447283183367,0.0,34.03640502732081,3.0,6.0,2019.0,7.0
132,0.0,4.382447283183367,0.0,34.03640502732081,3.0,6.0,2019.0,8.0
133,0.0,4.522249834314707,0.0,35.122185630414016,3.0,6.0,2019.0,9.0
134,0.0,4.4621609703627785,0.0,34.711762645309484,3.0,6.0,2019.0,10.0
135,0.0,4.549052586078705,0.0,35.387704450329906,3.0,6.0,2019.0,11.0
136,0.0,4.587808645105369,0.0,35.68919315298686,3.0,6.0,2019.0,12.0
137,69.57997455001974,27.331749828591487,0.0,212.96203211148838,3.0,6.0,2019.0,13.0
138,540.488777814902,95.58072136794326,157.7911734518196,625.8098742640482,3.0,6.0,2019.0,14.0
139,736.1768977246619,187.65819489247343,250.8366581757922,1716.1397106156355,3.0,6.0,2019.0,15.0
140,825.5986348598497,240.30975283209472,305.11313739997354,2719.3669186360457,3.0,6.0,2019.0,16.0
141,872.6696930935732,265.4233409091494,339.4288843395229,3564.110211373795,3.0,6.0,2019.0,17.0
142,898.3437212531085,178.99486757081775,677.1426927214338,5357.559784033114,3.0,6.0,2019.0,18.0
143,910.8506067663744,181.26578075991333,689.7734840586658,6209.202343723045,3.0,6.0,2019.0,19.0
144,913.4721258818229,181.8050409202945,692.1946897023571,6728.482921339707,3.0,6.0,2019.0,20.0
145,906.8427930359661,180.64630843207544,683.6800231286848,6842.700661410494,3.0,6.0,2019.0,21.0
146,889.3283420964755,176.70969288914125,667.062751145625,6555.382082640061,3.0,6.0,2019.0,22.0
147,856.0033708510699,168.75696552952087,636.5726860241903,5851.542368947946,3.0,6.0,2019.0,23.0
148,794.5718941443545,153.6851065815694,583.6480039251032,4748.318560988665,4.0,6.0,2019.0,0.0
149,672.8416330815219,118.01915954927071,484.1213690957953,3198.301622117735,4.0,6.0,2019.0,1.0
150,381.82918148631717,38.97607835210005,272.65665597659967,1149.098355433645,4.0,6.0,2019.0,2.0
151,0.0,5.086743159873612,0.0,39.3780722206208,4.0,6.0,2019.0,3.0
152,0.0,5.086743159873612,0.0,39.3780722206208,4.0,6.0,2019.0,4.0
153,0.0,5.059756881081135,0.0,39.2329564081022,4.0,6.0,2019.0,5.0
154,0.0,4.187991688831976,0.0,32.473357757523544,4.0,6.0,2019.0,6.0
155,0.0,4.212803684154411,0.0,32.7188630527719,4.0,6.0,2019.0,7.0
156,0.0,4.382447283183367,0.0,34.03640502732081,4.0,6.0,2019.0,8.0
157,0.0,4.4097542531501,0.0,34.3040835989934,4.0,6.0,2019.0,9.0
158,0.0,4.498201155484166,0.0,34.99212419208822,4.0,6.0,2019.0,10.0
159,0.0,4.498201155484166,0.0,34.99212419208822,4.0,6.0,2019.0,11.0
160,0.0,4.498201155484166,0.0,34.99212419208822,4.0,6.0,2019.0,12.0
161,71.04701719109927,27.496304429486788,0.0,213.8975261804416,4.0,6.0,2019.0,13.0
162,540.9680826882201,96.56921696591392,157.10695651418948,633.4402725620325,4.0,6.0,2019.0,14.0
163,736.1500662124802,188.12650892409678,251.1569865532283,1717.5946720685474,4.0,6.0,2019.0,15.0
164,825.4325545224866,239.11311617751738,306.114265014337,2708.3464649521584,4.0,6.0,2019.0,16.0
165,872.4589124433846,265.3341968142081,339.2678307605438,3562.265658005737,4.0,6.0,2019.0,17.0
166,898.1221182521782,178.59410232060515,677.6194435701723,5356.070692889834,4.0,6.0,2019.0,18.0
167,910.6357154703564,181.16821456073916,689.1768615683824,6213.257983099784,4.0,6.0,2019.0,19.0
